sample_id,timestep,feature,shap_value
4,6,HMA_20,0.0
4,6,ATR_14,0.0
4,6,BBL_20,0.0
4,6,OBV,0.0
4,6,PVT,0.0
5,0,close_log,0.0
5,0,return_1d,-0.007107068318873644
5,0,KAMA_10,0.0
5,0,SMA_20,0.0
5,0,HCL3,0.0
5,0,EMA_20,0.0
5,0,HMA_20,0.0
5,0,ATR_14,0.0
5,0,BBL_20,0.0
5,0,OBV,0.0
5,0,PVT,0.0
5,1,close_log,0.0
5,1,return_1d,0.001972736557945609
5,1,KAMA_10,0.0
5,1,SMA_20,0.0
5,1,HCL3,0.0
5,1,EMA_20,0.0
5,1,HMA_20,0.0
5,1,ATR_14,0.0
5,1,BBL_20,0.0
5,1,OBV,0.0
5,1,PVT,0.0
5,2,close_log,0.0
5,2,return_1d,-0.0027020657435059547
5,2,KAMA_10,0.0
5,2,SMA_20,0.0
5,2,HCL3,0.0
5,2,EMA_20,0.0
5,2,HMA_20,0.0
5,2,ATR_14,0.0
5,2,BBL_20,0.0
5,2,OBV,0.0
5,2,PVT,0.0
5,3,close_log,0.0
5,3,return_1d,-0.03813287988305092
5,3,KAMA_10,0.0
5,3,SMA_20,0.0
5,3,HCL3,0.0
5,3,EMA_20,0.0
5,3,HMA_20,0.0
5,3,ATR_14,0.0
5,3,BBL_20,0.0
5,3,OBV,0.0
5,3,PVT,0.0
5,4,close_log,0.0
5,4,return_1d,0.024427039548754692
5,4,KAMA_10,0.0
5,4,SMA_20,0.0
5,4,HCL3,0.0
5,4,EMA_20,0.0
5,4,HMA_20,0.0
5,4,ATR_14,0.0
5,4,BBL_20,0.0
5,4,OBV,0.0
5,4,PVT,0.0
5,5,close_log,0.0
5,5,return_1d,-0.001292857457883656
5,5,KAMA_10,0.0
5,5,SMA_20,0.0
5,5,HCL3,0.0
5,5,EMA_20,0.0
5,5,HMA_20,0.0
5,5,ATR_14,0.0
5,5,BBL_20,0.0
5,5,OBV,0.0
5,5,PVT,0.0
5,6,close_log,0.0
5,6,return_1d,-0.00028028874658048153
5,6,KAMA_10,0.0
5,6,SMA_20,0.0
5,6,HCL3,0.0
5,6,EMA_20,0.0
5,6,HMA_20,0.0
5,6,ATR_14,0.0
5,6,BBL_20,0.0
5,6,OBV,0.0
5,6,PVT,0.0
6,0,close_log,0.0
6,0,return_1d,0.014649403281509876
6,0,KAMA_10,0.0
6,0,SMA_20,0.0
6,0,HCL3,0.0
6,0,EMA_20,0.0
6,0,HMA_20,0.0
6,0,ATR_14,0.0
6,0,BBL_20,0.0
6,0,OBV,0.0
6,0,PVT,0.0
6,1,close_log,0.0
6,1,return_1d,0.0006629282142966986
6,1,KAMA_10,0.0
6,1,SMA_20,0.0
6,1,HCL3,0.0
6,1,EMA_20,0.0
6,1,HMA_20,0.0
6,1,ATR_14,0.0
6,1,BBL_20,0.0
6,1,OBV,0.0
6,1,PVT,0.0
6,2,close_log,0.0
6,2,return_1d,0.011648106388747692
6,2,KAMA_10,0.0
6,2,SMA_20,0.0
6,2,HCL3,0.0
6,2,EMA_20,0.0
6,2,HMA_20,0.0
6,2,ATR_14,0.0
6,2,BBL_20,0.0
6,2,OBV,0.0
6,2,PVT,0.0
6,3,close_log,0.0
6,3,return_1d,-0.01273228321224451
6,3,KAMA_10,0.0
6,3,SMA_20,0.0
6,3,HCL3,0.0
6,3,EMA_20,0.0
6,3,HMA_20,0.0
6,3,ATR_14,0.0
6,3,BBL_20,0.0
6,3,OBV,0.0
6,3,PVT,0.0
6,4,close_log,0.0
6,4,return_1d,0.004954302683472633
6,4,KAMA_10,0.0
6,4,SMA_20,0.0
6,4,HCL3,0.0
6,4,EMA_20,0.0
6,4,HMA_20,0.0
6,4,ATR_14,0.0
6,4,BBL_20,0.0
6,4,OBV,0.0
6,4,PVT,0.0
6,5,close_log,0.0
6,5,return_1d,-0.0018920251168310642
6,5,KAMA_10,0.0
6,5,SMA_20,0.0
6,5,HCL3,0.0
6,5,EMA_20,0.0
6,5,HMA_20,0.0
6,5,ATR_14,0.0
6,5,BBL_20,0.0
6,5,OBV,0.0
6,5,PVT,0.0
6,6,close_log,0.0
6,6,return_1d,-0.001099518034607172
6,6,KAMA_10,0.0
6,6,SMA_20,0.0
6,6,HCL3,0.0
6,6,EMA_20,0.0
6,6,HMA_20,0.0
6,6,ATR_14,0.0
6,6,BBL_20,0.0
6,6,OBV,0.0
6,6,PVT,0.0
7,0,close_log,0.0
7,0,return_1d,0.004937263671308756
7,0,KAMA_10,0.0
7,0,SMA_20,0.0
7,0,HCL3,0.0
7,0,EMA_20,0.0
7,0,HMA_20,0.0
7,0,ATR_14,0.0
7,0,BBL_20,0.0
7,0,OBV,0.0
7,0,PVT,0.0
7,1,close_log,0.0
7,1,return_1d,-0.0028605281841009855
7,1,KAMA_10,0.0
7,1,SMA_20,0.0
7,1,HCL3,0.0
7,1,EMA_20,0.0
7,1,HMA_20,0.0
7,1,ATR_14,0.0
7,1,BBL_20,0.0
7,1,OBV,0.0
7,1,PVT,0.0
7,2,close_log,0.0
7,2,return_1d,0.00391763960942626
7,2,KAMA_10,0.0
7,2,SMA_20,0.0
7,2,HCL3,0.0
7,2,EMA_20,0.0
7,2,HMA_20,0.0
7,2,ATR_14,0.0
7,2,BBL_20,0.0
7,2,OBV,0.0
7,2,PVT,0.0
7,3,close_log,0.0
7,3,return_1d,-0.002674207789823413
7,3,KAMA_10,0.0
7,3,SMA_20,0.0
7,3,HCL3,0.0
7,3,EMA_20,0.0
7,3,HMA_20,0.0
7,3,ATR_14,0.0
7,3,BBL_20,0.0
7,3,OBV,0.0
7,3,PVT,0.0
7,4,close_log,0.0
7,4,return_1d,0.007364511024206877
7,4,KAMA_10,0.0
7,4,SMA_20,0.0
7,4,HCL3,0.0
7,4,EMA_20,0.0
7,4,HMA_20,0.0
7,4,ATR_14,0.0
7,4,BBL_20,0.0
7,4,OBV,0.0
7,4,PVT,0.0
7,5,close_log,0.0
7,5,return_1d,-0.00754186324775219
7,5,KAMA_10,0.0
7,5,SMA_20,0.0
7,5,HCL3,0.0
7,5,EMA_20,0.0
7,5,HMA_20,0.0
7,5,ATR_14,0.0
7,5,BBL_20,0.0
7,5,OBV,0.0
7,5,PVT,0.0
7,6,close_log,0.0
7,6,return_1d,-6.913903052918613e-05
7,6,KAMA_10,0.0
7,6,SMA_20,0.0
7,6,HCL3,0.0
7,6,EMA_20,0.0
7,6,HMA_20,0.0
7,6,ATR_14,0.0
7,6,BBL_20,0.0
7,6,OBV,0.0
7,6,PVT,0.0
8,0,close_log,0.0
8,0,return_1d,-0.021188927814364433
8,0,KAMA_10,0.0
8,0,SMA_20,0.0
8,0,HCL3,0.0
8,0,EMA_20,0.0
8,0,HMA_20,0.0
8,0,ATR_14,0.0
8,0,BBL_20,0.0
8,0,OBV,0.0
8,0,PVT,0.0
8,1,close_log,0.0
8,1,return_1d,-0.0009624361991882324
8,1,KAMA_10,0.0
8,1,SMA_20,0.0
8,1,HCL3,0.0
8,1,EMA_20,0.0
8,1,HMA_20,0.0
8,1,ATR_14,0.0
8,1,BBL_20,0.0
8,1,OBV,0.0
8,1,PVT,0.0
8,2,close_log,0.0
8,2,return_1d,0.0008565450552850962
8,2,KAMA_10,0.0
8,2,SMA_20,0.0
8,2,HCL3,0.0
8,2,EMA_20,0.0
8,2,HMA_20,0.0
8,2,ATR_14,0.0
8,2,BBL_20,0.0
8,2,OBV,0.0
8,2,PVT,0.0
8,3,close_log,0.0
8,3,return_1d,-0.003919130191206932
8,3,KAMA_10,0.0
8,3,SMA_20,0.0
8,3,HCL3,0.0
8,3,EMA_20,0.0
8,3,HMA_20,0.0
8,3,ATR_14,0.0
8,3,BBL_20,0.0
8,3,OBV,0.0
8,3,PVT,0.0
8,4,close_log,0.0
