"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/07/2025","30,279.5","30,382.4","30,759.6","30,245.2","10.37M","-0.34%"
"14/07/2025","30,382.4","30,519.5","30,553.8","29,970.9","17.45M","-0.67%"
"11/07/2025","30,588.1","30,828.1","30,828.1","30,553.8","8.30M","-0.89%"
"10/07/2025","30,862.4","30,793.9","30,862.4","30,382.4","9.47M","0.00%"
"09/07/2025","30,862.4","30,450.9","30,999.6","30,382.4","10.95M","1.35%"
"08/07/2025","30,450.9","30,519.5","30,588.1","30,210.9","5.76M","0.00%"
"07/07/2025","30,450.9","29,490.8","30,450.9","29,456.5","16.63M","3.98%"
"04/07/2025","29,285.0","29,285.0","29,353.6","28,942.1","6.48M","0.47%"
"03/07/2025","29,147.9","28,702.1","29,319.3","28,667.8","14.76M","1.43%"
"02/07/2025","28,736.4","28,702.1","28,873.5","28,667.8","6.19M","0.00%"
"01/07/2025","28,736.4","28,599.2","28,804.9","28,496.3","5.91M","0.00%"
"30/06/2025","28,736.4","28,804.9","28,804.9","28,496.3","8.55M","-0.12%"
"27/06/2025","28,770.7","28,804.9","28,907.8","28,496.3","8.55M","0.12%"
"26/06/2025","28,736.4","28,667.8","28,736.4","28,324.9","8.73M","0.48%"
"25/06/2025","28,599.2","28,599.2","28,804.9","28,462.0","12.42M","0.36%"
"24/06/2025","28,496.3","28,496.3","28,667.8","28,359.2","14.19M","0.48%"
"23/06/2025","28,359.2","28,084.8","28,359.2","27,810.5","7.01M","0.12%"
"20/06/2025","28,324.9","27,981.9","28,667.8","27,879.1","18.01M","1.47%"
"19/06/2025","27,913.4","27,570.4","28,153.4","27,467.6","14.66M","1.37%"
"18/06/2025","27,536.2","27,570.4","27,707.6","27,399.0","7.99M","-0.50%"
"17/06/2025","27,673.3","27,741.9","27,741.9","27,296.1","11.38M","0.12%"
"16/06/2025","27,639.0","27,399.0","27,639.0","27,364.7","8.80M","1.00%"
"13/06/2025","27,364.7","26,335.9","27,947.7","26,164.5","34.52M","3.64%"
"12/06/2025","26,404.5","26,095.9","26,438.8","25,993.0","11.92M","1.32%"
"11/06/2025","26,061.6","26,061.6","26,061.6","25,753.0","8.64M","0.40%"
"10/06/2025","25,958.7","26,061.6","26,198.8","25,958.7","6.72M","-0.39%"
"09/06/2025","26,061.6","26,198.8","26,233.1","25,993.0","4.59M","-0.52%"
"06/06/2025","26,198.8","26,370.2","26,370.2","26,095.9","5.02M","-0.91%"
"05/06/2025","26,438.8","26,404.5","26,576.0","26,061.6","6.27M","0.13%"
"04/06/2025","26,404.5","26,541.7","26,678.9","26,370.2","6.01M","-0.13%"
"03/06/2025","26,438.8","26,507.4","26,576.0","26,335.9","6.21M","0.39%"
"02/06/2025","26,335.9","26,233.1","26,507.4","26,027.3","6.38M","0.26%"
"30/05/2025","26,267.4","26,850.3","26,850.3","26,198.8","11.11M","-1.54%"
"29/05/2025","26,678.9","27,056.1","27,090.4","26,678.9","10.77M","-1.64%"
"28/05/2025","27,124.7","27,227.5","27,261.8","26,816.0","8.07M","-0.13%"
"27/05/2025","27,158.9","26,918.9","27,158.9","26,747.4","11.21M","0.89%"
"26/05/2025","26,918.9","26,576.0","26,918.9","26,061.6","10.14M","1.16%"
"23/05/2025","26,610.3","26,644.6","26,747.4","26,473.1","6.28M","-0.13%"
"22/05/2025","26,644.6","26,987.5","27,090.4","26,507.4","10.21M","-1.52%"
"21/05/2025","27,056.1","26,953.2","27,707.6","26,953.2","12.49M","-0.13%"
"20/05/2025","27,090.4","26,541.7","27,090.4","26,541.7","9.51M","1.02%"
"19/05/2025","26,816.0","26,576.0","26,884.6","26,438.8","10.47M","0.26%"
"16/05/2025","26,747.4","27,296.1","27,296.1","26,747.4","9.49M","-1.89%"
"15/05/2025","27,261.8","27,158.9","27,536.2","26,918.9","14.15M","0.38%"
"14/05/2025","27,158.9","27,056.1","27,158.9","26,816.0","13.48M","0.51%"
"13/05/2025","27,021.8","26,130.2","27,021.8","26,130.2","22.78M","4.10%"
"12/05/2025","25,958.7","25,718.7","26,027.3","25,684.4","12.97M","1.07%"
"09/05/2025","25,684.4","25,821.6","25,924.4","25,650.1","9.03M","-0.27%"
"08/05/2025","25,753.0","25,650.1","25,787.3","25,513.0","11.49M","0.27%"
"07/05/2025","25,684.4","25,718.7","25,753.0","25,478.7","8.86M","-0.40%"
"06/05/2025","25,787.3","25,615.8","25,958.7","25,513.0","10.47M","0.67%"
"05/05/2025","25,615.8","25,581.5","25,718.7","25,410.1","5.24M","0.40%"
"29/04/2025","25,513.0","25,204.3","25,513.0","25,170.0","7.14M","0.95%"
"28/04/2025","25,272.9","25,547.2","25,547.2","25,170.0","7.38M","-0.81%"
"25/04/2025","25,478.7","25,513.0","25,718.7","25,410.1","9.35M","-0.67%"
"24/04/2025","25,650.1","25,684.4","25,684.4","25,272.9","9.83M","0.27%"
"23/04/2025","25,581.5","25,650.1","25,821.6","25,375.8","9.70M","0.54%"
"22/04/2025","25,444.4","25,307.2","25,478.7","23,764.1","21.79M","-0.40%"
"21/04/2025","25,547.2","25,753.0","25,958.7","25,170.0","14.51M","-0.53%"
"18/04/2025","25,684.4","25,958.7","26,095.9","25,684.4","12.31M","0.54%"
"17/04/2025","25,547.2","25,375.8","25,615.8","25,135.7","12.58M","0.13%"
"16/04/2025","25,513.0","25,890.2","26,130.2","25,513.0","9.52M","-1.46%"
"15/04/2025","25,890.2","25,924.4","26,061.6","25,513.0","14.83M","-1.44%"
"14/04/2025","26,267.4","26,473.1","26,473.1","25,958.7","14.10M","-0.26%"
"11/04/2025","26,335.9","25,375.8","26,404.5","25,067.2","29.28M","6.22%"
"10/04/2025","24,792.8","24,792.8","24,792.8","24,792.8","4.20M","6.95%"
"09/04/2025","23,181.1","23,181.1","25,375.8","23,181.1","25.32M","-6.11%"
